Day of Date,Measure Names,Parameter control,Number of Records
"March 3, 2020",<Parameters.Totals> ,2,
"March 4, 2020",<Parameters.Totals> ,5,
"March 5, 2020",<Parameters.Totals> ,3,
"March 6, 2020",<Parameters.Totals> ,7,
"March 7, 2020",<Parameters.Totals> ,7,
"March 8, 2020",<Parameters.Totals> ,21,
"March 9, 2020",<Parameters.Totals> ,57,
"March 10, 2020",<Parameters.Totals> ,70,
"March 11, 2020",<Parameters.Totals> ,153,
"March 12, 2020",<Parameters.Totals> ,355,
"March 13, 2020",<Parameters.Totals> ,618,
"March 14, 2020",<Parameters.Totals> ,642,
"March 15, 2020",<Parameters.Totals> ,1028,
"March 16, 2020",<Parameters.Totals> ,2116,
"March 17, 2020",<Parameters.Totals> ,2447,
"March 18, 2020",<Parameters.Totals> ,2950,
"March 19, 2020",<Parameters.Totals> ,3678,
"March 20, 2020",<Parameters.Totals> ,3985,
"March 21, 2020",<Parameters.Totals> ,2600,
"March 22, 2020",<Parameters.Totals> ,2545,
"March 23, 2020",<Parameters.Totals> ,3505,
"March 24, 2020",<Parameters.Totals> ,4390,
"March 25, 2020",<Parameters.Totals> ,4734,
"March 26, 2020",<Parameters.Totals> ,4924,
"March 27, 2020",<Parameters.Totals> ,4991,
"March 28, 2020",<Parameters.Totals> ,3386,
"March 29, 2020",<Parameters.Totals> ,3437,
"March 30, 2020",<Parameters.Totals> ,6015,
"March 31, 2020",<Parameters.Totals> ,5170,
